"node_id","node_type","all_time_communities","slice_1650_1699","slice_1675_1724","slice_1700_1749","slice_1725_1774","slice_1750_1799","slice_1775_1824","slice_1800_1849","slice_1825_1874","slice_1850_1899","slice_1875_1924","publication_communities"
"Francis Fox, M. Inst. C. E.","author",1,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA
"C. V. Boys, F. R. S.","author",1,NA,NA,NA,NA,NA,NA,NA,NA,1,1,NA
"Richard C. Maclaurin, M. A., LL. D.","author",2,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,NA
"Professor J. Larmor, Sec. R. S.","author",2,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,NA
"Captain H. G. Lyons","author",3,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,NA
"Sir W. E. Garstin, G. C. M. G.","author",3,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,NA
"Dr. W. N. Shaw, F. R. S.","author",3,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,NA
"The Hon. R. J. Strutt","author",1,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA
"Lord Rayleigh, O. M., F. R. S.","author",1,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA
"R. D. Oldham.","author",4,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,NA
"Professor John Milne, F. R. S.","author",4,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,NA
"Sir William Ramsay, K. C. B., F. R. S.","author",5,NA,NA,NA,NA,NA,NA,NA,NA,NA,5,NA
"O. Hahn, Ph. D.","author",5,NA,NA,NA,NA,NA,NA,NA,NA,NA,5,NA
"Joseph Lunt, B. Sc., F. I. C.","author",6,NA,NA,NA,NA,NA,NA,NA,NA,2,6,NA
"Sir David Gill, K. C. B., F. R. S., H. M.","author",6,NA,NA,NA,NA,NA,NA,NA,NA,NA,6,NA
"Rev. F. H. Jackson, R. N.","author",2,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,NA
"Professor A. R. Forsyth, Sc. D., LL. D., F. R. S.","author",2,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,NA
"C. Coleridge Farr, D. Sc.","author",7,NA,NA,NA,NA,NA,NA,NA,NA,NA,7,NA
"Dr. C. Chree, F. R. S.","author",7,NA,NA,NA,NA,NA,NA,NA,NA,NA,7,NA
"George C. Simpson, B. Sc.","author",8,NA,NA,NA,NA,NA,NA,NA,NA,NA,8,NA
"Arthur Schuster, F. R. S.","author",8,NA,NA,NA,NA,NA,NA,NA,NA,3,8,NA
"Burke John Butler, M. A.","author",2,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,NA
"Professor Larmor, Sec. R. S.","author",2,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,NA
"Edgar Philip Perman, D. Sc.","author",9,NA,NA,NA,NA,NA,NA,NA,NA,NA,9,NA
"Principal E. H. Griffiths, F. R. S.","author",9,NA,NA,NA,NA,NA,NA,NA,NA,NA,9,NA
"Edgar Philip Perman","author",9,NA,NA,NA,NA,NA,NA,NA,NA,NA,9,NA
"John Hughes Davies.","author",9,NA,NA,NA,NA,NA,NA,NA,NA,NA,9,NA
"Captain Arthur Mostyn Field","author",10,NA,NA,NA,NA,NA,NA,NA,NA,NA,10,NA
"Sir William Wharton, K. C. B., F. R. S.","author",10,NA,NA,NA,NA,NA,NA,NA,NA,NA,10,NA
"A. H . Peake, M. A., A. I. E. E.","author",11,NA,NA,NA,NA,NA,NA,NA,NA,NA,11,NA
"Professor Ewing, F. R. S.","author",11,NA,NA,NA,NA,NA,NA,NA,NA,4,11,NA
"John Morrow, M .Sc. (Vict.), M.Eng. (Liverpool)","author",12,NA,NA,NA,NA,NA,NA,NA,NA,NA,12,NA
"Professor H. S. Hele-Shaw, F. R. S.","author",12,NA,NA,NA,NA,NA,NA,NA,NA,NA,12,NA
"S. E. Sheppard, B. Sc.","author",5,NA,NA,NA,NA,NA,NA,NA,NA,NA,5,NA
"C. E. K. Mees, B. Sc.","author",5,NA,NA,NA,NA,NA,NA,NA,NA,NA,5,NA
"J. A. Harker D. Sc.","author",11,NA,NA,NA,NA,NA,NA,NA,NA,NA,11,NA
"R. T. Glazebrook, D. Sc., F. R. S.","author",11,NA,NA,NA,NA,NA,NA,NA,NA,NA,11,NA
"Harold B. Dixon, M. A., F. R. S.","author",13,NA,NA,NA,NA,NA,NA,NA,NA,0,13,NA
"E. C. Edgar, B. Sc.","author",13,NA,NA,NA,NA,NA,NA,NA,NA,NA,13,NA
"Wyndham R. Dunstan, M. A., LL. D., F. R. S.","author",14,NA,NA,NA,NA,NA,NA,NA,NA,NA,14,NA
"G. S. Blake, A. R. S. M.","author",14,NA,NA,NA,NA,NA,NA,NA,NA,NA,14,NA
"J. A. Fleming, M. A., D. Sc., F. R. S.","author",15,NA,NA,NA,NA,NA,NA,NA,NA,5,15,NA
