id,type
"George Senter, Ph. D., B. Sc. (Lond.).",author
John Stenhouse,author
Lady Bruce R. R. C.,author
M. Papin,author
Hugh W. Diamond,author
"Professor J. T. Wilson, M. D.",author
"Francis H. A. Marshall, B. A.",author
John P. Gassiot,author
"S. R. Roget, B. A.",author
William Henry Preece,author
"J. S. Haldane, M. D., LL. D., F. R. S.",author
Signor Fracassati,author
"late Lieutenant F. M. G. Tulloch, R. A. M. C. (Sleeping Sickness Commission)",author
"G. N. Watson, Sc. D., D. Sc",author
Professor Wolf of Zurich,author
"W. J. Sollas, D. Sc., F. R. S.",author
" Sir James Dewar, F. R. S.",author
R. Brocklesby,author
Abr. de la Pryme,author
"C. Schorlemmer, F. R. S.",author
Lemoine,author
"Prof. P. M. Duncan, F. R. S.",author
Thomas Wilbraham,author
M. Godofridus Heinsius,author
M. I&apos; Abbe dela Roque,author
"the Hon. Charles A. Parsons, C. B., F. R. S.",author
Dr. Prout,author
Claud. Nic. le Cat,author
Terence Brady,author
Muriel Robertson.,author
"Lieut.-Colonel Allan Cunningham, R. E.",author
Charles Morton,author
Charles Price,author
"Ezer Griffiths, B. Sc.",author
"Henry Woodward, LL. D., F. R. S., Pres. Pal. S.",author
"John Perry, B. E.",author
"the Hon. J. W. Strutt, M. A.",author
Charles Bell,author
"W. Bevan Lewis, L. R. C. P. (Lond.)",author
Thomas Maclear,author
John Hill,author
H. L. Duke,author
R. P.,author
Thomas Bent,author
"Norman Lockyer, K. C. B., F. R. S., LL. D., Se. D.",author
"N. Story Maskelyne, F. R. S.",author
"Professor G. G. Stokes, D. C. L.",author
Tho. Heberden,author
"Professor J. Clerk Maxwell, M. A., F. R. S.",author
Samuel Clarke,author
Robert Bland,author
F. L. F. Crell,author
"T. J. Parker, B. Sc.",author
"F. W. Aston, A. I. C.",author
"Guy Barlow, D. Sc.",author
"Sir William de W. Abney, K. C. B., D. C. L., D. Sc., F. R. S.",author
"Professor W. D. Halliburton, F. R. S.",author
Seignior Cassini,author
"H. B. Dixon, F. R. S.",author
"John Williams, M. D. (Lond.)",author
