target,source,type
rspa_1905_0001,"Sir William Huggins K. C. B., O. M., F. R. S.",authored
rspa_1905_0002,"Francis Fox, M. Inst. C. E.",authored
rspa_1905_0002,"C. V. Boys, F. R. S.",authored
rspa_1905_0003,"Professor C. Niven, F. R. S.",authored
rspa_1905_0004,"Richard C. Maclaurin, M. A., LL. D.",authored
rspa_1905_0004,"Professor J. Larmor, Sec. R. S.",authored
rspa_1905_0005,Captain H. G. Lyons,authored
rspa_1905_0005,"Sir W. E. Garstin, G. C. M. G.",authored
rspa_1905_0005,"Dr. W. N. Shaw, F. R. S.",authored
rspa_1905_0006,The Hon. R. J. Strutt,authored
rspa_1905_0006,"Lord Rayleigh, O. M., F. R. S.",authored
rspa_1905_0007,R. D. Oldham.,authored
rspa_1905_0007,"Professor John Milne, F. R. S.",authored
rspa_1905_0008,"Sir William Ramsay, K. C. B., F. R. S.",authored
rspa_1905_0009,"O. Hahn, Ph. D.",authored
rspa_1905_0009,"Sir William Ramsay, K. C. B., F. R. S.",authored
rspa_1905_0010,"Joseph Lunt, B. Sc., F. I. C.",authored
rspa_1905_0010,"Sir David Gill, K. C. B., F. R. S., H. M.",authored
rspa_1905_0011,"Rev. F. H. Jackson, R. N.",authored
rspa_1905_0011,"Professor A. R. Forsyth, Sc. D., LL. D., F. R. S.",authored
rspa_1905_0012,"Sir Norman Lockyer, K. C. B., Hon. LL. D. (Glasgow), Hon. Sc. D. (Camb.), F. R. S.",authored
rspa_1905_0013,"C. Coleridge Farr, D. Sc.",authored
rspa_1905_0013,"Dr. C. Chree, F. R. S.",authored
rspa_1905_0014,"George C. Simpson, B. Sc.",authored
rspa_1905_0014,"Arthur Schuster, F. R. S.",authored
rspa_1905_0015,"Burke John Butler, M. A.",authored
rspa_1905_0015,"Professor Larmor, Sec. R. S.",authored
rspa_1905_0016,"Edgar Philip Perman, D. Sc.",authored
rspa_1905_0016,"Principal E. H. Griffiths, F. R. S.",authored
rspa_1905_0017,Edgar Philip Perman,authored
rspa_1905_0017,John Hughes Davies.,authored
rspa_1905_0017,"Principal E. H. Griffiths, F. R. S.",authored
rspa_1905_0018,"Norman Lockyer, K. C. B., F. R. S., LL. D., Se. D.",authored
rspa_1905_0019,Captain Arthur Mostyn Field,authored
rspa_1905_0019,"Sir William Wharton, K. C. B., F. R. S.",authored
rspa_1905_0020,"A. H . Peake, M. A., A. I. E. E.",authored
rspa_1905_0020,"Professor Ewing, F. R. S.",authored
rspa_1905_0021,"John Morrow, M .Sc. (Vict.), M.Eng. (Liverpool)",authored
rspa_1905_0021,"Professor H. S. Hele-Shaw, F. R. S.",authored
rspa_1905_0022,"S. E. Sheppard, B. Sc.",authored
rspa_1905_0022,"C. E. K. Mees, B. Sc.",authored
rspa_1905_0022,"Sir William Ramsay, K. C. B., F. R. S.",authored
rspa_1905_0023,J. A. Harker D. Sc.,authored
rspa_1905_0023,"R. T. Glazebrook, D. Sc., F. R. S.",authored
rspa_1905_0024,"Harold B. Dixon, M. A., F. R. S.",authored
rspa_1905_0024,"E. C. Edgar, B. Sc.",authored
rspa_1905_0025,"Wyndham R. Dunstan, M. A., LL. D., F. R. S.",authored
rspa_1905_0025,"G. S. Blake, A. R. S. M.",authored
rspa_1905_0026,"A. M. W. Downing, D. Sc., F. R. S.",authored
rspa_1905_0027,"J. A. Fleming, M. A., D. Sc., F. R. S.",authored
rspa_1905_0027,"R. A. Hadfield, M. Inst. C. E.",authored
rspa_1905_0028,"J. Milne, F. R. S.",authored
rspa_1905_0029,"J. H. Jeans, M. A.",authored
rspa_1905_0029,"Professor J. Larmor, Sec. R. S.",authored
rspa_1905_0030,"The Hon. R. J. Strutt, F. R. S.",authored
rspa_1905_0031,"Lieut.-Colonel S. G. Burrard, R. E., F. R. S.",authored
rspa_1905_0032,"Sir William de W. Abney, K. C. B., D. C. L., D. Sc., F. R. S.",authored
rspa_1905_0033,"Sir James Dewar, M. A., D. Sc., LL. D., F. R. S.",authored
rspa_1905_0034,"Sir James Dewar, M. A., Sc. D., LL. D., F. R. S.",authored
